FPR_LR,TPR_LR,FPR_XGB,TPR_XGB,Random
0.0,0.0,0.0,0.0,0.0
0.0006,0.0091,0.0009,0.0077,0.005
0.0015,0.0165,0.0016,0.0165,0.0101
0.0019,0.024,0.0025,0.0244,0.0151
0.003,0.0304,0.0035,0.031,0.0201
0.004,0.0371,0.0046,0.0389,0.0251
0.0051,0.0457,0.0055,0.0459,0.0302
0.0062,0.052,0.0066,0.0518,0.0352
0.0073,0.0592,0.0076,0.0592,0.0402
0.0083,0.0677,0.0087,0.0659,0.0452
0.0094,0.0745,0.0101,0.0731,0.0503
0.0106,0.08,0.0113,0.0808,0.0553
0.0117,0.0862,0.0127,0.0876,0.0603
0.0128,0.0926,0.0141,0.0945,0.0653
0.014,0.0979,0.0155,0.1003,0.0704
0.015,0.1035,0.0172,0.1061,0.0754
0.0164,0.109,0.0186,0.1122,0.0804
0.0178,0.1136,0.0196,0.1174,0.0854
0.0192,0.12,0.0216,0.1233,0.0905
0.0212,0.1263,0.0226,0.1301,0.0955
0.0223,0.1315,0.0242,0.1366,0.1005
0.0237,0.1372,0.0253,0.1432,0.1055
0.0253,0.1426,0.0269,0.1488,0.1106
0.0265,0.1486,0.0283,0.1541,0.1156
0.0277,0.1537,0.0294,0.1601,0.1206
0.0289,0.1585,0.031,0.1658,0.1256
0.0305,0.1639,0.0325,0.1712,0.1307
0.0321,0.1692,0.0341,0.1782,0.1357
0.0336,0.175,0.0364,0.1847,0.1407
0.0348,0.1803,0.0383,0.1907,0.1457
0.036,0.1865,0.0404,0.1974,0.1508
0.0379,0.1921,0.0425,0.2034,0.1558
0.0398,0.1976,0.0445,0.2087,0.1608
0.0417,0.2034,0.0467,0.2135,0.1658
0.0435,0.2087,0.0484,0.2193,0.1709
0.0449,0.2137,0.0504,0.225,0.1759
0.0467,0.2181,0.0524,0.2304,0.1809
0.0493,0.2234,0.0541,0.2361,0.1859
0.0509,0.2288,0.0558,0.2409,0.191
0.0526,0.2334,0.0576,0.2461,0.196
0.0541,0.2395,0.0594,0.2518,0.201
0.0559,0.2447,0.0621,0.257,0.206
0.0575,0.2506,0.0639,0.2622,0.2111
0.0589,0.257,0.0659,0.2679,0.2161
0.0603,0.2624,0.0679,0.2733,0.2211
0.0624,0.2677,0.0694,0.2788,0.2261
0.0646,0.2731,0.0716,0.284,0.2312
0.0665,0.2779,0.0738,0.2886,0.2362
0.0686,0.2838,0.0766,0.2943,0.2412
0.0701,0.289,0.0787,0.3001,0.2462
0.0719,0.2935,0.0809,0.3061,0.2513
0.0736,0.2987,0.0825,0.3118,0.2563
0.0757,0.3031,0.0847,0.3164,0.2613
0.0782,0.3082,0.087,0.3215,0.2663
0.0803,0.3128,0.0904,0.3273,0.2714
0.0827,0.3178,0.0927,0.3331,0.2764
0.0847,0.3241,0.0948,0.338,0.2814
0.0873,0.3291,0.0973,0.3436,0.2864
0.0892,0.3345,0.099,0.3484,0.2915
0.0918,0.3404,0.1007,0.3543,0.2965
0.0935,0.345,0.1031,0.3601,0.3015
0.0952,0.3501,0.1061,0.3652,0.3065
0.0968,0.3553,0.1087,0.3706,0.3116
0.0989,0.3601,0.1115,0.3758,0.3166
0.1013,0.365,0.1146,0.3805,0.3216
0.1038,0.3708,0.1179,0.3853,0.3266
0.1068,0.3762,0.1208,0.3905,0.3317
0.1096,0.3807,0.1228,0.3954,0.3367
0.1116,0.3853,0.1262,0.4,0.3417
0.1143,0.3903,0.1294,0.4048,0.3467
0.1161,0.3952,0.1326,0.4097,0.3518
0.1194,0.4006,0.1348,0.4151,0.3568
0.1221,0.405,0.1377,0.4195,0.3618
0.1246,0.4103,0.1406,0.424,0.3668
0.1293,0.4155,0.1436,0.4288,0.3719
0.1324,0.4199,0.1461,0.4336,0.3769
0.137,0.4244,0.1493,0.4387,0.3819
0.14,0.4292,0.1517,0.4443,0.3869
0.1429,0.4342,0.1538,0.4489,0.392
0.1457,0.4389,0.1567,0.4548,0.397
0.1486,0.4435,0.1598,0.4594,0.402
0.1512,0.4489,0.163,0.4642,0.407
0.1548,0.454,0.1654,0.4689,0.4121
0.1562,0.4584,0.1687,0.4739,0.4171
0.1598,0.4628,0.1706,0.4785,0.4221
0.163,0.4677,0.1741,0.4834,0.4271
0.1675,0.4725,0.1767,0.4884,0.4322
0.1717,0.4771,0.1805,0.4931,0.4372
0.1737,0.4816,0.1836,0.4983,0.4422
0.1767,0.4864,0.1873,0.5033,0.4472
0.1792,0.491,0.19,0.5086,0.4523
0.1821,0.4969,0.1949,0.5138,0.4573
0.1849,0.5015,0.1989,0.5184,0.4623
0.1885,0.5061,0.2024,0.5237,0.4673
0.1917,0.5116,0.2056,0.5279,0.4724
0.1945,0.5162,0.2098,0.5325,0.4774
0.1979,0.521,0.2139,0.5372,0.4824
0.2025,0.5255,0.2183,0.5428,0.4874
0.2053,0.5307,0.2211,0.5482,0.4925
0.2086,0.5353,0.225,0.5529,0.4975
0.2109,0.5406,0.2284,0.5587,0.5025
0.2138,0.5458,0.2311,0.5637,0.5075
0.2173,0.5505,0.2338,0.569,0.5126
0.2203,0.5551,0.2374,0.5734,0.5176
0.2239,0.5601,0.2403,0.5789,0.5226
0.2271,0.5648,0.2436,0.5827,0.5276
0.2311,0.5692,0.2472,0.5873,0.5327
0.2355,0.5742,0.2504,0.5917,0.5377
0.2395,0.5793,0.2549,0.5966,0.5427
0.2429,0.5837,0.2599,0.6014,0.5477
0.2477,0.5883,0.2638,0.6064,0.5528
0.2518,0.594,0.2689,0.6115,0.5578
0.2561,0.5984,0.2736,0.6163,0.5628
0.2593,0.6034,0.2765,0.6207,0.5678
0.2631,0.6085,0.2809,0.6254,0.5729
